field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,left_uwb_thread,right_uwb_thread,dataset_descrision,left_length,right_length,x,y
-0.0183,-0.005364,-0.014088,-0.482568,0.263066,9.56792,1.1,1.1,right,0.74,0.39,0.329583333,0.338876364
0.001916,-0.01228,0.01996,-0.444287,0.038164,9.699512,1.1,1.1,right,0.74,0.54,0.213333333,0.482999896
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0.59,0.16625,0.524639833
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
0.000852,-0.030369,-0.001852,-0.427539,-0.110176,9.704297,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0.66,0.081083333,0.572635923
0.032773,-0.018665,-0.022069,-0.439502,0.157793,9.563135,1.1,1.1,right,0.72,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0.6,0.144083333,0.529387602
-0.005,0.062201,-0.01462,-0.44668,0.08123,9.553564,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0.55,0.216666667,0.493650214
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
0.014152,-0.015473,0.015172,-0.451465,0.131475,9.694727,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0.8,-0.077,0.655599745
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.78,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
